VacID	JumpID	ERGforward	ERGbackward	ERGstartshow	ERGendshow	ERGstart	ERG1	ERG2	ERG3	ERG4	ERG5	ERGend	DISTstart	DIST1	DIST2	DIST3	DIST4	DIST5	DISTend	FORCEsaddle	DIST	POS
83	81	.511391	.539155	-881.80372281	-881.83148665	0.000000	0.120537	0.377591	0.511391	0.382683	0.106795	-0.027764	0.000000	0.548451	1.095887	1.638803	2.177630	2.722579	3.267255	0.000005	2.96359026024429	1.638803
83	144	.603208	.639680	-881.80372281	-881.84019440	0.000000	0.147847	0.456108	0.603208	0.445031	0.116255	-0.036472	0.000000	0.525190	1.048478	1.569693	2.114706	2.660032	3.206920	0.000559	2.89389674182525	1.569693
18	23	.494741	.128041	-882.05507159	-881.68837157	0.000000	0.150856	0.416098	0.494741	0.441192	0.427667	0.366700	0.000000	0.574269	1.147412	1.716999	2.450493	3.176413	3.905521	0.049043	3.25365622062084	1.716999
18	84	.156274	.063421	-882.05507159	-881.96221897	0.000000	0.026359	0.083632	0.137536	0.156274	0.123994	0.092853	0.000000	0.358195	0.713863	1.067309	1.413724	1.829600	2.243519	0.017158	2.13085833923458	1.413724
18	19	.432621	.083709	-882.05507159	-881.70615989	0.000000	0.170043	0.402326	0.430508	0.432621	0.400600	0.348912	0.000000	0.627490	1.257324	1.895212	2.537426	3.182408	3.820719	0.000568	3.18804190437446	2.537426
1	4	.484611	.339253	-881.77074300	-881.62538460	0.000000	0.116355	0.363216	0.484611	0.395388	0.221464	0.145358	0.000000	0.505621	1.009172	1.511346	1.976568	2.443235	2.912325	-0.009702	2.67867801843892	1.511346
1	2	.256211	.304449	-881.77074300	-881.81898054	0.000000	0.084611	0.207376	0.256211	0.203376	0.048809	-0.048238	0.000000	0.536343	1.073514	1.610091	2.139110	2.666364	3.194408	-0.003286	2.869246129947	1.610091
1	194	.660396	.518870	-881.77074300	-881.62921664	0.000000	0.164141	0.508743	0.660396	0.498575	0.247906	0.141526	0.000000	0.538891	1.075574	1.608506	2.184124	2.760250	3.337125	0.021988	2.93346423681244	1.608506
66	65	.391489	.324244	-881.65682918	-881.58958420	0.000000	0.085018	0.288357	0.391489	0.321289	0.159131	0.067245	0.000000	0.582287	1.164075	1.750157	2.263755	2.783399	3.304679	-0.009342	2.96913336988375	1.750157
66	71	.504553	.385765	-881.65682918	-881.53804158	0.000000	0.126920	0.389665	0.504553	0.392261	0.211440	0.118788	0.000000	0.548524	1.095819	1.640640	2.186752	2.730084	3.273832	0.019299	2.95810039837849	1.640640
66	129	.434518	.354457	-881.65682918	-881.57676855	0.000000	0.117544	0.341934	0.434518	0.333956	0.170824	0.080061	0.000000	0.479996	0.956936	1.427084	1.933005	2.435271	2.945983	0.018031	2.74043251635041	1.427084
84	65	.476880	.438236	-885.21398954	-885.17534558	0.000000	0.124709	0.361621	0.476880	0.372855	0.154302	0.038644	0.000000	0.470679	0.944970	1.420030	1.880074	2.341640	2.803868	-0.007905	2.61673136278743	1.420030
84	87	.881956	.865818	-885.21398954	-885.19785108	0.000000	0.195593	0.638296	0.881956	0.677427	0.225399	0.016138	0.000000	0.612147	1.226725	1.842325	2.403938	2.972459	3.545611	-0.022596	3.11780362726376	1.842325
148	151	.633359	.557151	-882.77111606	-882.69490771	0.000000	0.155344	0.476788	0.633359	0.497170	0.213841	0.076208	0.000000	0.521174	1.041026	1.561070	2.057196	2.557513	3.060352	0.000043	2.78530146285234	1.561070
148	135	.535007	.440916	-882.77111606	-882.67702534	0.000000	0.140329	0.412867	0.535007	0.427846	0.210655	0.094091	0.000000	0.484758	0.977185	1.460114	1.936532	2.416547	2.890435	0.002923	2.68742081831133	1.460114
148	87	.667148	.663750	-882.77111606	-882.76771830	0.000000	0.156880	0.491808	0.667148	0.504866	0.166585	0.003398	0.000000	0.566095	1.126609	1.685289	2.227039	2.771222	3.320318	-0.009019	2.97786757755678	1.685289
148	71	.396674	.497384	-882.77111606	-882.87182639	0.000000	0.099619	0.296620	0.396674	0.274523	0.019411	-0.100710	0.000000	0.498892	1.000589	1.500288	2.014688	2.530498	3.040994	0.001590	2.75782366083698	1.500288
148	129	.647214	.591434	-882.77111606	-882.71533578	0.000000	0.156868	0.485390	0.647214	0.499785	0.201885	0.055780	0.000000	0.535142	1.073204	1.611429	2.134261	2.659433	3.187175	-0.004016	2.90745873877478	1.611429
148	145	.383365	.441430	-882.77111606	-882.82918066	0.000000	0.093662	0.291414	0.383365	0.270232	0.050487	-0.058065	0.000000	0.455405	0.905144	1.350258	1.824881	2.300451	2.771572	0.006795	2.56428181205052	1.350258
148	133	.904404	.805923	-882.77111606	-882.67263525	0.000000	0.202904	0.676134	0.904404	0.700019	0.277627	0.098481	0.000000	0.571568	1.141546	1.712458	2.261219	2.813915	3.369643	-0.002885	2.95684010819818	1.712458
20	18	.650833	.541514	-885.16783109	-885.05851166	0.000000	0.165042	0.499204	0.650833	0.504478	0.247625	0.109319	0.000000	0.529837	1.057494	1.581766	2.114168	2.647601	3.181416	0.014013	2.8963913924539	1.581766
20	215	.704320	.551871	-885.16783109	-885.01538225	0.000000	0.176217	0.537364	0.704320	0.559922	0.294032	0.152449	0.000000	0.537183	1.071947	1.605622	2.135149	2.665755	3.197371	0.010110	2.89106077493908	1.605622
20	21	.456156	.429580	-885.16783109	-885.14125517	0.000000	0.110137	0.343346	0.456156	0.350751	0.132075	0.026576	0.000000	0.462480	0.929608	1.391590	1.845537	2.303908	2.760823	-0.002504	2.56284014451241	1.391590
20	17	.545556	.438511	-885.16783109	-885.06078613	0.000000	0.126473	0.397108	0.545556	0.446197	0.219959	0.107045	0.000000	0.506633	1.017908	1.523426	1.982452	2.444086	2.908339	-0.028467	2.71029507132041	1.523426
20	5	.378653	.308968	-885.16783109	-885.09814615	0.000000	0.100796	0.283707	0.378653	0.314232	0.159955	0.069685	0.000000	0.432369	0.871219	1.314883	1.729032	2.148339	2.571193	-0.022560	2.46552674459295	1.314883
75	72	.537187	.517795	-885.12793384	-885.10854164	0.000000	0.144681	0.415148	0.537187	0.398371	0.147904	0.019392	0.000000	0.517561	1.027675	1.533994	2.082477	2.631258	3.177295	0.018038	2.90784745607443	1.533994
75	152	.655450	.634918	-885.12793384	-885.10740180	0.000000	0.161648	0.489654	0.655450	0.499471	0.180744	0.020532	0.000000	0.543084	1.084280	1.624239	2.154575	2.685397	3.220515	-0.003362	2.94916380135928	1.624239
75	74	.640200	.582264	-885.12793384	-885.06999773	0.000000	0.161807	0.487400	0.640200	0.494872	0.190931	0.057936	0.000000	0.515456	1.030640	1.548851	2.067449	2.588812	3.108410	0.001614	2.81536194634446	1.548851
